Taxon,OTU2,OTU6,OTU11,OTU9,OTU7,OTU13,OTU3,OTU15,OTU17,OTU18,OTU22,OTU35,OTU34,OTU31,OTU12,OTU44,OTU48,OTU46,OTU27,OTU8,OTU51,OTU54,OTU25,OTU61,OTU67,OTU10,OTU28,OTU71,OTU74,OTU40,OTU80,OTU83,OTU70,OTU23,OTU88,OTU87,OTU93,OTU72,OTU82,OTU66,OTU76,OTU38,OTU100,OTU108,OTU104,OTU81,OTU64
MCA3-1,0.26955585,0.047563805,0.001864435,0.09885648,0.004433212,0.004226052,0.0000414,0.050919788,0.01976301,0.003687438,0.003480278,0.061277759,0.051499834,0.000290023,0,0.0000414,0.019348691,0,0.007582035,0,0.0000414,0,0.000165728,0.00372887,0.023616175,0.0000414,0.026433543,0.018437189,0.013258204,0.006339079,0,0.013341067,0,0,0.019431555,0.004723235,0.005344713,0.026847862,0.001781571,0.000538615,0.0000414,0.001864435,0.005551873,0,0.024279085,0.004640371,0.002527345
MCA3-2,0.000911501,0.017898575,0.279168048,0.004598939,0.022580378,0.000207159,0.0000414,0.0000414,0,0.014211137,0.0000414,0.038987405,0.0000414,0.000124296,0.0000414,0.073417302,0,0,0.007830626,0,0.069066954,0.0000414,0.03844879,0.043172025,0,0.000207159,0.014584024,0.000580046,0.0000414,0.001491548,0.003190255,0.002568777,0.000207159,0.000207159,0,0.003314551,0.009239311,0.00592476,0.000580046,0.034388465,0.030783891,0.024113358,0.000952933,0.03186112,0.001035797,0.003148823,0.001077229
MCA3-3,0.048143852,0.01976301,0,0.078264833,0.009736493,0.0362529,0.001698707,0.060034803,0.000248591,0.097489228,0.0000414,0,0.001905867,0.052659927,0,0.000745774,0.039153132,0,0.021337421,0.001035797,0,0,0.000911501,0.0000829,0.012843885,0.0000829,0.001118661,0.027137885,0.027883659,0.00791349,0.041224727,0.013299635,0.043254889,0.028173682,0.005013258,0.01164236,0.014128273,0.000414319,0.031943984,0.000165728,0.003894597,0.004640371,0.012885317,0,0.001491548,0.022331787,0.0000414
MCA3-4,0,0.177328472,0.0000829,0.00372887,0.151309248,0.173433875,0.0000414,0.00306596,0.039028837,0,0.039650315,0,0.032109712,0.015412662,0,0.00066291,0.012263838,0,0.015992708,0,0,0.024071926,0.0000829,0.000248591,0.009156447,0.017732847,0,0.003811734,0.007830626,0.006131919,0.000372887,0.005634736,0,0.012926748,0.007084853,0.006504806,0.0085764,0.004806099,0.001574412,0.000745774,0,0.000414319,0.006753397,0,0.002693073,0,0.026184952
MCA3-5,0.022166059,0.003314551,0.003273119,0.000165728,0.046403712,0.021834604,0.214990056,0.0000829,0.0028588,0,0.051416971,0,0.001491548,0,0.084811071,0,0.000745774,0.070931389,0,0.068694067,0,0.0000414,0.023326152,0.008949287,0,0.034761352,0.009653629,0,0,0.024693404,0.000124296,0.008452105,0,0,0,0,0,0.0000414,0,0.000165728,0,0,0,0,0.001947299,0.0000414,0
MCA3-6,0.247389791,0.087504143,0.0000414,0.098690752,0.040437521,0.005427577,0.000248591,0.098235002,0.104656944,0,0.014376864,0,0.002320186,0.020301624,0.0000414,0,0.0000414,0.0000829,0.018147166,0.0000829,0,0.042426251,0,0,0.008742128,0.000911501,0.001823003,0,0.0000414,0.001905867,0.0000414,0.000331455,0,0.0000414,0.008162082,0.013216772,0.001450116,0.0000829,0.001035797,0.000248591,0,0.00352171,0.00791349,0,0,0.000745774,0
