# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	Antigen_processing_and_presentation	Arachidonic_acid_metabolism	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Chromosome	Cysteine_and_methionine_metabolism	Cytoskeleton_proteins	D_Arginine_and_D_ornithine_metabolism	Flavonoid_biosynthesis	Fructose_and_mannose_metabolism	Glycosyltransferases	Insulin_signaling_pathway	Lipid_metabolism	Other_ion_coupled_transporters	Pathways_in_cancer	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Progesterone_mediated_oocyte_maturation	Prostate_cancer	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Starch_and_sucrose_metabolism	Styrene_degradation	Sulfur_metabolism	Transcription_factors	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU10_Roseburia	b:-0.177742250724	b:-0.11529227074	b:-0.0784627953645	b:-0.179343532262	b:-0.0800640769025	b:-0.153723027653	b:-0.142514056887	b:-0.1809448138	a:0.13130508612	b:-0.0352281938371	b:-0.0176140969186	b:-0.126501241506	b:-0.140912775348	b:-0.148919183039	b:-0.118494833816	b:-0.184147376876	b:-0.195356347642	b:-0.19695762918	b:-0.124899959968	b:-0.144115338425	b:-0.164931998419	b:-0.0880704845928	b:-0.164931998419	b:-0.132906367658	a:0.299439647616	b:-0.0144115338425	b:-0.153723027653	b:-0.120096115354	a:0.302642210692	b:-0.177742250724	b:-0.203362755332
OTU110_Prevotellaceae_unclassified	b:-0.0208166599947	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU111_Methanomassiliicoccus	c:0.0128102523044	d:0.0	d:0.0	c:0.0128102523044	c:0.00480384461415	d:0.0	d:0.0	d:-0.0128102523044	d:0.0	d:0.0	d:0.0	d:-0.00960768922831	c:0.0512410092176	d:-0.00960768922831	d:0.0	c:0.0144115338425	c:0.0192153784566	d:0.0	c:0.0032025630761	d:0.0	c:0.0128102523044	d:0.0	c:0.032025630761	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	c:0.0176140969186
OTU112_Anaerovibrio	b:-0.0208166599947	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:-0.0192153784566	b:0.0	b:0.0	b:0.0	b:-0.0192153784566	b:-0.00800640769025	b:-0.0176140969186	b:0.0	b:0.0	b:-0.0144115338425	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0160128153805
OTU113_Treponema	c:0.0064051261522	d:0.0	d:0.0	c:0.0144115338425	c:0.0128102523044	d:0.0	c:0.0064051261522	c:0.00800640769025	d:0.0	d:0.0	d:0.0	c:0.0064051261522	c:0.0032025630761	c:0.0224179415327	d:0.0	c:0.00800640769025	c:0.0064051261522	c:0.0032025630761	d:0.0	c:0.0160128153805	c:0.0128102523044	c:0.0064051261522	c:0.0208166599947	c:0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.00480384461415	c:0.0032025630761	c:0.00480384461415	c:0.0128102523044
OTU114_Megasphaera	b:-0.0112089707664	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:-0.00480384461415	b:-0.0208166599947	b:0.0	b:-0.0064051261522	b:-0.0224179415327	b:-0.0112089707664	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0160128153805
OTU115_Fibrobacter	b:-0.0288230676849	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:0.0	b:-0.0208166599947	b:-0.0128102523044	b:0.0	b:0.0	b:-0.0160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0064051261522
OTU116_Dialister	b:-0.0112089707664	b:-0.00800640769025	b:0.0	b:-0.0240192230708	b:-0.00800640769025	b:-0.0112089707664	b:-0.0128102523044	b:-0.0128102523044	b:-0.00160128153805	b:0.0	b:0.0	b:-0.0208166599947	b:-0.00480384461415	b:-0.0240192230708	b:0.0	b:-0.0160128153805	b:-0.0288230676849	b:-0.0176140969186	b:0.0	b:-0.00160128153805	b:-0.00160128153805	b:-0.0112089707664	b:-0.0128102523044	b:-0.0112089707664	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.00480384461415	b:-0.0368294753752
OTU117_Bacteria_unclassified	d:-0.0128102523044	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.0160128153805	d:-0.00960768922831	d:0.0	d:0.0	d:-0.00960768922831	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU118_Succiniclasticum	d:-0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.0128102523044	d:0.0	d:0.0	d:0.0	d:-0.00800640769025	d:-0.00160128153805	d:-0.0128102523044	d:0.0	d:0.0	d:-0.0112089707664	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0032025630761
OTU119_Prevotella	c:0.0128102523044	d:0.0	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0176140969186	c:0.0160128153805	c:0.032025630761	d:0.0	d:0.0	c:0.0368294753752	c:0.00960768922831	d:0.0	d:0.0	c:0.00480384461415	c:0.0480384461415	c:0.0448358830654	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	c:0.00160128153805
OTU11_Fibrobacter	d:-0.0144115338425	d:-0.00800640769025	d:0.0	d:-0.0272217861469	d:-0.00480384461415	d:-0.0256205046088	d:-0.0032025630761	d:-0.0368294753752	d:0.0	d:0.0	d:0.0	d:-0.0336269122991	c:0.00800640769025	d:-0.0064051261522	d:0.0	d:-0.00480384461415	d:-0.0240192230708	d:-0.0128102523044	d:-0.00800640769025	d:0.0	d:-0.0160128153805	d:-0.0192153784566	d:-0.0192153784566	d:0.0	d:-0.0128102523044	d:0.0	d:0.0	d:-0.0160128153805	d:-0.0224179415327	d:-0.0176140969186	d:-0.0384307569132
OTU120_Megasphaera	b:-0.0272217861469	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:-0.0112089707664	b:-0.00480384461415	b:-0.0288230676849	b:0.0	b:0.0	b:-0.0224179415327	b:-0.0112089707664	b:0.0	b:0.0	b:-0.0256205046088	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0160128153805
OTU121_Bacteroidales_unclassified	c:0.0064051261522	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00800640769025	d:0.0	d:0.0	d:0.0	c:0.0112089707664	c:0.0208166599947	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	c:0.0192153784566	c:0.0272217861469	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0
OTU122_Ruminobacter	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00800640769025	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
