# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ABC_transporters	Arachidonic_acid_metabolism	Bacterial_chemotaxis	Bacterial_motility_proteins	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Bisphenol_degradation	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Cysteine_and_methionine_metabolism	DNA_repair_and_recombination_proteins	Ethylbenzene_degradation	Flavone_and_flavonol_biosynthesis	Glutathione_metabolism	Glycosyltransferases	Glyoxylate_and_dicarboxylate_metabolism	Insulin_signaling_pathway	Lipid_metabolism	Meiosis___yeast	Nitrogen_metabolism	Other_ion_coupled_transporters	Others	Pathways_in_cancer	Pentose_and_glucuronate_interconversions	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Porphyrin_and_chlorophyll_metabolism	Renal_cell_carcinoma	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Sulfur_metabolism	Transcription_factors	Transcription_machinery	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU10_Roseburia	b:-0.0576461353698	b:-0.0032025630761	b:-0.0208166599947	b:-0.0272217861469	b:-0.00960768922831	b:-0.00800640769025	b:-0.0704563876742	b:-0.0336269122991	b:-0.0064051261522	b:-0.0768615138264	b:-0.0352281938371	b:-0.0400320384513	b:0.0	b:-0.0464371646035	b:-0.0656525430601	b:-0.112089707664	b:0.0	b:-0.0688551061362	b:-0.00480384461415	b:-0.0960768922831	b:-0.0800640769025	b:-0.0688551061362	b:-0.0800640769025	b:-0.0128102523044	b:-0.0864692030547	b:-0.0256205046088	b:-0.0656525430601	b:-0.00800640769025	b:-0.00960768922831	b:-0.0400320384513	b:-0.064051261522	b:-0.0368294753752	b:-0.0512410092176	b:-0.064051261522	b:-0.0464371646035	b:-0.0272217861469	b:-0.0544435722937
OTU110_Prevotellaceae_unclassified	b:-0.032025630761	b:-0.00800640769025	b:-0.0256205046088	b:-0.0160128153805	b:-0.00960768922831	b:-0.0160128153805	b:-0.0480384461415	b:-0.00480384461415	b:0.0	b:-0.0336269122991	b:-0.032025630761	b:-0.0384307569132	b:0.0	b:-0.0192153784566	b:-0.0512410092176	b:-0.0592474169079	b:0.0	b:-0.0544435722937	b:0.0	b:-0.0272217861469	b:-0.0416333199893	b:-0.0432346015274	b:-0.064051261522	b:0.0	b:-0.032025630761	b:-0.0032025630761	b:-0.0448358830654	b:0.0	b:-0.0144115338425	b:-0.0176140969186	b:-0.0208166599947	b:-0.0272217861469	a:8.32667268469e-18	b:-0.00160128153805	b:-0.0144115338425	b:-0.0128102523044	b:-0.0160128153805
OTU111_Methanomassiliicoccus	c:0.0432346015274	d:0.0	c:0.0224179415327	c:0.0224179415327	c:0.0144115338425	c:0.0160128153805	c:0.0352281938371	c:0.0256205046088	d:0.0	c:0.0384307569132	c:0.0688551061362	c:0.0128102523044	d:0.0	c:0.0272217861469	c:0.0768615138264	c:0.0272217861469	d:0.0	c:0.0352281938371	d:0.0	c:0.0720576692123	c:0.0576461353698	c:0.0144115338425	c:0.0448358830654	d:0.0	c:0.0576461353698	d:0.0	c:0.0464371646035	d:0.0	c:0.00480384461415	c:0.0208166599947	c:0.0224179415327	c:0.0384307569132	c:0.0272217861469	c:0.0240192230708	c:0.0160128153805	c:0.0144115338425	c:0.0128102523044
OTU112_Anaerovibrio	b:-0.0160128153805	b:0.0	b:-0.0192153784566	b:-0.0176140969186	a:0.0064051261522	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	b:-0.0112089707664	b:-0.0064051261522	b:-0.00960768922831	b:0.0	b:-0.0240192230708	b:-0.0384307569132	b:-0.00160128153805	b:0.0	b:-0.0192153784566	b:0.0	b:-0.0336269122991	b:-0.0144115338425	b:-0.0416333199893	b:-0.030424349223	b:0.0	b:-0.0464371646035	b:0.0	b:-0.0400320384513	b:0.0	b:-0.00160128153805	b:-0.0064051261522	b:-0.00960768922831	b:-0.0064051261522	b:-0.0064051261522	b:0.0	b:0.0	b:-0.0208166599947	b:0.0
OTU113_Treponema	d:-0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.00480384461415	c:0.00480384461415	d:-1.94289029309e-18	c:0.00960768922831	d:0.0	c:0.00960768922831	d:-0.00480384461415	c:0.0032025630761	d:0.0	c:0.0032025630761	c:0.032025630761	c:0.0064051261522	d:0.0	c:0.0128102523044	d:0.0	c:0.0224179415327	c:0.0112089707664	d:-0.0112089707664	d:-0.0288230676849	d:0.0	d:-0.0272217861469	d:0.0	d:-0.0032025630761	d:0.0	d:-0.0064051261522	d:-0.0064051261522	c:0.0288230676849	d:-0.00960768922831	d:-1.11022302463e-18	c:0.00960768922831	d:-0.0032025630761	c:0.0064051261522	d:0.0
OTU114_Megasphaera	b:-0.0160128153805	b:0.0	b:-0.0128102523044	b:-0.0128102523044	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:-0.0176140969186	b:-0.0192153784566	b:0.0	b:-0.0160128153805	b:-0.032025630761	b:-0.0192153784566	b:0.0	b:-0.0288230676849	b:0.0	b:-0.0144115338425	b:-0.0288230676849	b:-0.0576461353698	b:-0.0400320384513	b:0.0	b:-0.0208166599947	b:0.0	b:-0.0160128153805	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.00800640769025	b:-0.0128102523044	b:0.0	b:0.0	b:-0.0144115338425	b:0.0
OTU115_Fibrobacter	b:-0.0336269122991	b:0.0	b:-0.0176140969186	b:-0.0176140969186	b:-0.0288230676849	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0144115338425	b:-0.0112089707664	b:0.0	b:0.0	b:-0.00960768922831	b:-0.032025630761	b:-0.0176140969186	b:0.0	b:-0.0704563876742	b:0.0	a:0.00160128153805	b:-0.0384307569132	b:-0.0480384461415	b:-0.0512410092176	b:0.0	b:-0.0688551061362	b:0.0	b:-0.0352281938371	b:0.0	b:0.0	b:-0.00800640769025	b:-0.0112089707664	b:-0.0176140969186	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:0.0
OTU116_Dialister	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU117_Bacteria_unclassified	b:-0.0192153784566	b:0.0	b:-0.0176140969186	b:-0.0128102523044	b:0.0	b:-0.0112089707664	b:-0.0160128153805	b:0.0	b:0.0	b:-0.0368294753752	b:-0.0368294753752	b:0.0	b:0.0	b:0.0	b:-0.0144115338425	b:-0.0368294753752	b:0.0	b:-0.0336269122991	b:0.0	b:-0.0192153784566	b:-0.00800640769025	b:-0.0208166599947	b:-0.0480384461415	b:0.0	b:-0.0496397276796	b:0.0	b:-0.0192153784566	b:0.0	b:0.0	b:-0.0128102523044	b:-0.0064051261522	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU118_Succiniclasticum	b:-0.0272217861469	b:0.0	b:-0.0192153784566	b:-0.0160128153805	b:-0.00480384461415	b:-0.0112089707664	b:-0.0272217861469	b:-0.00480384461415	b:0.0	b:-0.0240192230708	b:-0.0384307569132	b:-0.00800640769025	b:0.0	b:-0.0208166599947	b:-0.030424349223	b:-0.0272217861469	b:0.0	b:-0.0480384461415	b:0.0	a:0.0032025630761	b:-0.0208166599947	b:-0.0432346015274	b:-0.0368294753752	b:0.0	b:-0.0176140969186	b:0.0	b:-0.0240192230708	b:0.0	b:-0.00480384461415	b:-0.0144115338425	b:-0.00960768922831	b:-0.0192153784566	b:-0.0112089707664	b:0.0	b:0.0	b:0.0	b:-0.00480384461415
OTU119_Prevotella	c:0.0144115338425	d:0.0	c:0.0240192230708	c:0.0128102523044	c:0.00960768922831	c:0.032025630761	c:0.0176140969186	c:0.0064051261522	d:0.0	c:0.0208166599947	c:0.0576461353698	c:0.0128102523044	d:0.0	c:0.0224179415327	c:0.0544435722937	c:0.0272217861469	d:0.0	c:0.0240192230708	d:0.0	c:0.0512410092176	c:0.0480384461415	c:0.0400320384513	c:0.0528422907557	d:0.0	c:0.0960768922831	d:0.0	c:0.0272217861469	d:0.0	c:0.0160128153805	c:0.0224179415327	c:0.0464371646035	c:0.0384307569132	c:0.0064051261522	d:0.0	c:0.0128102523044	c:0.00960768922831	c:0.00960768922831
OTU11_Fibrobacter	c:0.440352422964	c:0.42754217066	c:0.456365238344	c:0.457966519883	c:0.171337124571	c:0.515612655252	c:0.453162675268	c:0.214571726099	c:0.200160192256	c:0.518815218328	c:0.507606247562	c:0.507606247562	c:0.140912775348	c:0.390712695284	c:0.486789587567	c:0.446757549116	c:0.514011373714	c:0.475580616801	c:0.525220344481	c:0.518815218328	c:0.520416499867	c:0.454763956806	c:0.365092190676	c:0.384307569132	c:0.440352422964	c:0.437149859888	c:0.411529355279	c:0.0144115338425	c:0.465972927573	c:0.530024189095	c:0.483587024491	c:0.515612655252	c:0.441953704502	c:0.480384461415	c:0.409928073741	c:0.437149859888	c:0.397117821437
OTU120_Megasphaera	b:-0.0176140969186	b:0.0	b:-0.0144115338425	b:-0.00480384461415	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:0.0	b:0.0	b:-0.0192153784566	b:-0.0272217861469	b:-0.00960768922831	b:0.0	b:-0.0240192230708	b:0.0	b:-0.0256205046088	b:-0.030424349223	b:-0.0288230676849	b:-0.0464371646035	b:0.0	b:-0.0496397276796	b:0.0	b:-0.0432346015274	b:0.0	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:-0.00800640769025	b:0.0
OTU121_Bacteroidales_unclassified	c:0.00960768922831	d:0.0	c:0.0160128153805	c:0.0176140969186	d:0.0	c:0.00960768922831	c:0.0208166599947	d:0.0	d:0.0	c:0.0288230676849	c:0.0160128153805	c:0.0208166599947	d:0.0	c:0.00960768922831	c:0.0192153784566	c:0.0256205046088	d:0.0	c:0.0192153784566	d:0.0	c:0.0224179415327	c:0.0208166599947	c:0.0160128153805	c:0.0336269122991	d:0.0	c:0.0672538245981	d:0.0	c:0.0336269122991	d:0.0	c:0.0128102523044	c:0.0112089707664	d:0.0	c:0.0112089707664	c:0.0064051261522	d:0.0	c:0.0176140969186	c:0.0064051261522	c:0.00960768922831
OTU122_Ruminobacter	b:-0.0176140969186	b:0.0	b:-0.0128102523044	b:-0.0128102523044	b:-0.00960768922831	b:-0.00960768922831	b:-0.0224179415327	b:-0.0128102523044	b:0.0	b:-0.0544435722937	b:-0.0544435722937	b:-0.0112089707664	b:0.0	b:-0.0192153784566	b:-0.0240192230708	b:-0.0176140969186	b:0.0	b:-0.0288230676849	b:0.0	b:-0.0240192230708	b:-0.0384307569132	b:-0.0272217861469	b:-0.0448358830654	b:0.0	b:-0.0752602322884	b:0.0	b:-0.0352281938371	b:0.0	b:-0.00800640769025	b:-0.0160128153805	b:-0.0160128153805	b:-0.0128102523044	b:-0.00480384461415	b:-0.0208166599947	b:-0.00800640769025	b:-0.030424349223	b:0.0
OTU123_Prevotella	c:0.0144115338425	d:0.0	c:0.0240192230708	c:0.0240192230708	c:0.032025630761	c:0.0176140969186	c:0.032025630761	c:0.032025630761	d:0.0	c:0.0352281938371	c:0.0448358830654	c:0.00480384461415	d:0.0	c:0.0160128153805	c:0.0512410092176	c:0.0336269122991	d:0.0	c:0.0336269122991	d:0.0	c:0.0576461353698	c:0.0608486984459	c:0.00480384461415	c:0.0208166599947	d:0.0	c:0.0704563876742	d:0.0	c:0.0464371646035	d:0.0	c:0.00800640769025	c:0.0288230676849	c:0.032025630761	c:0.0176140969186	c:0.00800640769025	d:0.0	c:0.0192153784566	c:0.0160128153805	c:0.0064051261522
OTU124_Bacteroidetes_unclassified	c:0.0336269122991	d:0.0	c:0.0352281938371	c:0.0240192230708	c:0.0240192230708	c:0.0256205046088	c:0.0416333199893	d:0.0	d:0.0	c:0.0272217861469	c:0.0224179415327	c:0.0128102523044	d:0.0	c:0.0192153784566	c:0.0704563876742	c:0.0448358830654	d:0.0	c:0.0832666399786	d:0.0	c:0.0720576692123	c:0.062449979984	c:0.030424349223	c:0.0416333199893	d:0.0	c:0.0496397276796	d:0.0	c:0.0176140969186	d:0.0	d:0.0	c:0.0256205046088	c:0.0240192230708	c:0.0128102523044	c:0.00960768922831	d:0.0	c:0.0064051261522	c:0.0208166599947	c:0.0288230676849
OTU125_Prevotellaceae_unclassified	d:-0.0208166599947	d:0.0	c:1.66533453694e-18	d:0.0	d:0.0	d:-0.00960768922831	d:-0.0224179415327	d:-0.0064051261522	d:0.0	d:-0.0272217861469	d:-0.0144115338425	d:-0.0192153784566	d:0.0	d:-0.00800640769025	d:-0.0288230676849	d:-0.032025630761	d:0.0	d:-0.0144115338425	d:0.0	d:-0.0176140969186	d:-0.0576461353698	d:-1.66533453694e-18	d:-0.0128102523044	d:0.0	d:-0.00800640769025	d:-0.00800640769025	d:-0.0064051261522	d:0.0	c:0.00160128153805	d:-0.00480384461415	c:2.77555756156e-19	d:-0.0064051261522	d:-0.00800640769025	d:-0.0224179415327	d:-0.0160128153805	d:-0.0112089707664	d:-0.0208166599947
OTU126_Anaeroplasma	c:0.0272217861469	d:0.0	c:0.0128102523044	c:0.0128102523044	c:0.0240192230708	c:0.00960768922831	c:0.0368294753752	c:0.0224179415327	d:0.0	c:0.032025630761	c:0.0288230676849	c:0.00800640769025	d:0.0	c:0.0192153784566	c:0.0272217861469	c:0.0400320384513	d:0.0	c:0.0416333199893	d:0.0	c:0.0736589507503	c:0.0752602322884	c:0.0144115338425	c:0.030424349223	d:0.0	c:0.0432346015274	d:0.0	c:0.0576461353698	d:0.0	c:0.00800640769025	c:0.0208166599947	c:0.0224179415327	c:0.0160128153805	c:0.00800640769025	c:0.0160128153805	c:0.0224179415327	c:0.030424349223	c:0.0064051261522
OTU127_Acidaminococcus	b:-0.032025630761	b:0.0	b:-0.0112089707664	b:-0.00480384461415	b:-0.00480384461415	b:0.0	b:-0.0224179415327	b:-0.00800640769025	b:0.0	b:-0.0064051261522	b:-0.0032025630761	b:-0.0112089707664	b:0.0	b:-0.0176140969186	b:-0.032025630761	b:-0.0144115338425	b:0.0	b:-0.0192153784566	b:0.0	b:-0.030424349223	b:-0.0112089707664	b:-0.0352281938371	b:-0.0416333199893	b:0.0	b:-0.0512410092176	b:0.0	b:-0.0240192230708	b:0.0	b:-0.00800640769025	b:0.0	b:-0.0128102523044	b:-0.0224179415327	b:-0.0064051261522	b:-0.00480384461415	b:-0.0112089707664	b:-0.00800640769025	b:-0.0192153784566
OTU128_Bacteroidetes_unclassified	c:0.030424349223	d:0.0	c:0.0400320384513	c:0.0240192230708	c:0.0240192230708	c:0.0256205046088	c:0.0256205046088	d:0.0	d:0.0	c:0.0384307569132	c:0.0224179415327	c:0.0128102523044	d:0.0	c:0.0192153784566	c:0.0720576692123	c:0.0368294753752	d:0.0	c:0.0800640769025	d:0.0	c:0.0720576692123	c:0.0672538245981	c:0.0336269122991	c:0.0464371646035	d:0.0	c:0.0416333199893	d:0.0	c:0.0272217861469	d:0.0	d:0.0	c:0.0256205046088	c:0.0160128153805	c:0.0176140969186	c:0.0176140969186	d:0.0	c:0.0064051261522	c:0.0208166599947	c:0.032025630761
OTU129_Firmicutes_unclassified	b:-0.00160128153805	b:0.0	b:-0.00160128153805	a:0.00160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0032025630761	b:0.0	b:0.0	b:0.0	b:-0.00160128153805	b:0.0	b:0.0	b:-0.0064051261522	b:0.0	a:0.0176140969186	b:-0.00160128153805	b:-0.0176140969186	a:0.00960768922831	b:0.0	b:-0.0208166599947	b:0.0	b:-5.55111512313e-19	b:0.0	b:0.0	a:0.00480384461415	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
